FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA
1,1,D,1,0,H,1.533,3.5,5.5,1.5,3.55,6.5,1.45,3.8,5.4,1.444,3.6,6.5,1.53,3.5,5.5,1.44,3.6,6.5
2,2,D,1,0,H,2.1,3.25,3.0,2.2,3.2,3.0,2.1,3.0,3.1,2.2,3.25,2.75,2.2,3.2,2.87,2.1,3.2,3.0
1,2,A,0,1,A,1.833,3.25,3.75,1.8,3.4,4.0,1.85,3.1,3.6,1.8,3.25,3.75,1.8,3.4,3.75,1.72,3.4,4.0
1,1,D,1,1,D,1.727,3.5,4.0,1.7,3.4,4.5,1.75,3.2,4.0,1.727,3.4,4.0,1.75,3.4,4.0,1.66,3.3,4.5
2,3,A,0,2,A,1.909,3.25,3.5,1.95,3.2,3.6,2.0,3.1,3.2,1.909,3.4,3.25,1.9,3.2,3.6,1.9,3.2,3.5
0,1,A,0,0,D,1.8,3.2,4.0,1.95,3.2,3.65,2.1,2.8,3.3,1.909,3.2,3.5,1.9,3.2,3.6,2.0,2.87,3.6
1,0,H,1,0,H,1.909,3.25,3.5,2.0,3.25,3.45,2.0,3.1,3.2,2.0,3.2,3.2,1.9,3.2,3.6,1.83,3.3,3.6
1,1,D,1,1,D,5.0,3.4,1.615,5.75,3.55,1.55,4.6,3.4,1.6,5.0,3.5,1.571,5.0,3.4,1.61,5.0,3.5,1.57
1,0,H,0,0,D,2.25,3.25,2.75,2.2,3.25,2.95,2.3,3.0,2.7,2.25,3.2,2.75,2.25,3.2,2.8,2.3,3.2,2.62
2,1,H,2,1,H,2.0,3.25,3.25,2.1,3.25,3.15,2.2,3.0,2.9,2.0,3.2,3.2,2.0,3.25,3.25,1.9,3.25,3.4
