FTHG,FTAG,FTR,HTHG,HTAG,HR,B365H,B365D,B365A,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA
0.0,1.0,A,0.0,1.0,0.0,1.25,5.75,13.0,1.3,4.8,9.5,1.25,5.5,12.0,1.22,5.5,13.0
1.0,2.0,A,1.0,0.0,0.0,2.2,3.3,3.4,2.2,3.2,3.2,2.15,3.25,3.4,2.1,3.2,3.4
2.0,1.0,H,1.0,0.0,0.0,2.2,3.25,3.4,2.1,3.3,3.35,2.25,3.1,3.4,2.25,3.25,3.4
3.0,1.0,H,0.0,0.0,0.0,2.25,3.3,3.25,2.2,3.3,3.1,2.25,3.2,3.25,2.25,3.4,3.25
3.0,0.0,H,2.0,0.0,0.0,1.17,7.0,19.0,1.17,6.0,15.0,1.2,6.0,15.0,1.17,7.5,19.0
0.0,2.0,A,0.0,1.0,1.0,2.88,3.3,2.5,2.7,3.2,2.5,3.0,3.2,2.4,3.0,3.25,2.5
1.0,1.0,D,1.0,1.0,0.0,7.0,4.2,1.5,6.5,3.9,1.5,7.0,4.0,1.5,7.5,4.33,1.44
2.0,1.0,H,1.0,0.0,0.0,1.14,8.0,19.0,1.17,6.0,15.0,1.14,7.5,17.0,1.14,8.0,21.0
2.0,1.0,H,1.0,0.0,0.0,1.33,4.75,11.0,1.35,4.5,8.5,1.33,4.5,11.0,1.3,5.0,12.0
3.0,0.0,H,1.0,0.0,0.0,2.25,3.3,3.25,2.1,3.3,3.35,2.25,3.4,3.1,2.25,3.25,3.4
3.0,0.0,H,1.0,0.0,0.0,1.22,6.0,15.0,1.17,6.5,13.0,1.2,6.0,15.0,1.2,6.0,19.0
1.0,0.0,H,0.0,0.0,0.0,1.4,4.33,9.0,1.45,4.0,7.0,1.4,4.2,9.0,1.44,4.33,8.5
0.0,2.0,A,0.0,1.0,0.0,3.3,3.4,2.2,3.0,3.2,2.3,3.2,3.3,2.15,3.25,3.4,2.25
3.0,0.0,H,1.0,0.0,0.0,6.5,4.0,1.57,6.0,3.7,1.55,6.5,4.0,1.53,6.5,3.6,1.62
4.0,3.0,H,3.0,2.0,0.0,1.53,4.0,7.0,1.45,4.0,7.0,1.44,4.2,7.5,1.57,3.6,7.0
2.0,0.0,H,1.0,0.0,0.0,5.5,4.0,1.62,5.3,3.5,1.65,6.0,3.8,1.57,6.0,4.0,1.57
1.0,1.0,D,1.0,1.0,0.0,1.83,3.5,4.5,1.9,3.4,3.7,1.8,3.4,4.6,1.83,3.5,4.75
1.0,1.0,D,1.0,0.0,0.0,8.5,4.5,1.4,7.6,4.0,1.43,8.5,4.6,1.36,8.0,4.75,1.4
2.0,0.0,H,1.0,0.0,0.0,2.1,3.3,3.6,2.0,3.3,3.6,2.0,3.4,3.75,2.1,3.25,3.75
0.0,0.0,D,0.0,0.0,0.0,6.5,3.8,1.57,6.0,3.7,1.55,6.5,3.6,1.44,7.5,3.75,1.53
1.0,1.0,D,0.0,1.0,0.0,2.38,3.3,3.0,2.3,3.3,2.9,2.15,3.25,2.87,2.38,3.4,3.0
0.0,0.0,D,0.0,0.0,0.0,2.8,3.4,2.5,2.85,3.2,2.4,2.75,3.2,2.25,2.88,3.25,2.5
2.0,0.0,H,0.0,0.0,0.0,1.29,5.5,11.0,1.27,4.9,11.0,1.25,4.5,10.0,1.3,5.0,12.0
2.0,0.0,H,2.0,0.0,0.0,1.44,4.33,7.5,1.45,4.0,7.0,1.4,4.0,6.5,1.44,4.33,8.0
1.0,1.0,D,1.0,0.0,0.0,2.38,3.3,3.0,2.3,3.3,2.9,2.2,3.25,2.75,2.38,3.25,3.2
2.0,0.0,H,1.0,0.0,0.0,2.1,3.3,3.6,2.15,3.3,3.2,2.0,3.2,3.2,2.1,3.25,3.75
1.0,1.0,D,0.0,1.0,0.0,2.3,3.25,3.2,2.2,3.3,3.1,2.15,3.25,2.87,2.25,3.25,3.25
3.0,0.0,H,0.0,0.0,0.0,1.73,3.5,5.0,1.65,3.5,5.3,1.57,3.5,5.0,1.73,3.5,5.5
1.0,3.0,A,0.0,1.0,0.0,8.0,4.2,1.4,8.0,4.7,1.35,7.5,4.2,1.33,8.5,4.5,1.4
2.0,2.0,D,0.0,0.0,0.0,2.1,3.3,3.6,2.0,3.3,3.6,2.1,3.3,2.87,2.1,3.25,3.75
2.0,1.0,H,0.0,1.0,0.0,1.36,4.5,10.0,1.4,4.3,7.5,1.25,4.8,8.5,1.36,4.5,11.0
2.0,0.0,H,0.0,0.0,0.0,1.57,3.8,6.5,1.6,3.6,5.6,1.53,3.5,5.5,1.53,4.0,7.0
0.0,1.0,A,0.0,0.0,0.0,2.4,3.25,3.0,2.4,3.2,2.85,2.2,3.25,2.75,2.5,3.2,3.0
2.0,0.0,H,1.0,0.0,0.0,1.44,4.2,8.0,1.45,4.0,7.0,1.36,4.0,7.0,1.4,4.5,8.5
0.0,3.0,A,0.0,1.0,0.0,4.5,3.6,1.8,4.3,3.4,1.8,4.2,3.5,1.67,4.75,3.6,1.8
